"{12, 12, 12}",0
"{81, 81, 81, 71, 47, 47, 71, 81, 81, 71, 47, 47, 71}",0
"{153, 153, 153}",0
"{234, 234, 106, 106}",0
"{230, 230, 142, 142, 230, 142, 142}",0
"{218, 219, 91, 91, 219, 91, 91}",0
"{143, 153, 153, 153, 153, 153, 153}",0
"{149, 149, 149}",0
"{165, 165, 165, 165}",0
"{152, 152, 152, 152, 152, 152}",0
"{159, 159, 159, 31, 30, 30, 31, 159, 159, 31, 30, 30, 31}",0
"{49, 49, 49, 177, 177, 49, 48, 48, 49, 177, 177, 49, 48, 48}",0
"{120, 16, 16, 16, 16, 16, 16}",0
"{235, 235, 253, 149, 149, 149, 149, 149}",0
"{100, 100, 100, 100}",0
"{124, 124, 124, 124, 124, 125, 253, 253, 125, 124, 124, 125, 253, 253, 125}",1
"{144, 134, 134, 134}",0
"{125, 125, 125, 124, 125, 125, 124, 125}",0
"{123, 109, 109, 123, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19}",1
"{43, 61, 61, 61, 61, 61, 61}",0
"{21, 21, 149, 21, 21, 149, 21}",0
"{175, 175, 47, 46, 47, 47, 46, 47}",0
"{81, 81, 81, 81, 81, 81}",0
"{147, 251, 251, 251, 251, 251, 251, 251, 251, 251, 251, 251, 251}",0
"{218, 218, 218}",0
"{240, 240, 240, 240}",0
"{46, 46, 46, 46, 46, 46, 46}",0
"{96, 96, 96, 96, 96, 96, 96}",0
"{240, 240, 240, 112, 112}",0
"{17, 17, 17, 17, 17}",0
"{193, 169, 169, 169, 169, 169, 169, 169}",0
"{140, 140, 140}",0
"{214, 190, 214, 214, 214, 214, 214, 214, 214}",0
"{26, 114, 26, 26, 114, 26, 26, 114, 26, 26, 114, 26, 26, 114, 26, 26, 114, 26}",1
"{70, 70, 80, 70, 70, 80, 70, 70, 80, 70, 70, 80, 70, 70, 80, 70, 70, 80}",1
"{32, 32, 32, 32}",0
"{19, 19, 19, 18, 19, 19, 18, 19}",0
"{215, 215, 87, 86, 86, 87, 215, 215, 87, 86, 86, 87}",0
"{161, 161, 161}",0
"{117, 99, 117, 117, 117, 117, 117, 117}",0
"{220, 220}",0
"{105, 105, 105, 105, 105}",0
"{102, 102, 102, 102, 102, 102, 102}",0
"{108, 108, 108, 108}",0
"{74, 74, 92, 92, 92, 92, 92, 92}",0
"{157, 157, 157, 157}",0
"{39, 79, 39, 39, 79, 39, 39, 79, 39, 39, 79, 39, 39, 79, 39, 39, 79, 39}",1
"{57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57}",0
"{80, 80, 80, 80, 80, 80, 80}",0
