87,58,1
58,58,1
90,1,1
57,57,1
82,1,1
60,60,1
33,62,1
53,2,1
10,1,0
19,2,1
18,3,0
8,13,1
20,3,1
7,2,0
10,1,0
18,1,0
1,1,0
10,14,0
10,9,0
5,5,0
3,4,0
12,10,0
2,2,1
28,26,1
40,1,1
37,26,1
36,25,1
3,4,1
10,1,0
10,1,0
22,22,1
2,1,0
12,1,0
4,5,0
10,1,0
7,10,0
7,7,0
11,15,0
1,1,0
33,23,1
8,7,0
3,4,0
13,20,0
22,22,1
20,1,0
9,14,0
2,1,0
11,16,0
4,6,0
1,1,0
7,7,0
7,9,0
10,1,0
4,6,0
7,1,0
11,15,0
2,2,0
11,1,0
5,5,0
10,3,0
4,1,0
11,1,0
1,2,0
1,1,0
1,1,0
9,1,0
18,2,0
4,2,0
8,2,0
1,2,0
5,2,0
3,4,0
7,1,0
3,1,0
8,2,0
8,5,0
2,2,0
47,25,1
9,5,0
37,1,1
1,1,0
6,6,0
8,9,0
2,2,1
6,1,0
2,2,0
4,4,0
5,4,0
7,1,0
5,4,0
7,1,0
18,1,0
7,2,0
18,2,0
15,1,0
4,3,0
4,1,0
9,9,0
2,2,0
2,2,0
15,1,0
2,2,0
9,8,0
10,1,0
1,2,0
8,1,0
19,3,0
4,1,0
20,2,0
17,1,0
10,2,0
8,2,0
5,5,0
19,1,0
3,2,0
18,21,1
18,22,1
23,12,0
23,12,0
5,2,0
1,2,0
1,1,0
9,1,0
14,2,0
2,2,0
2,2,0
15,15,0
8,7,0
9,7,0
21,15,0
14,13,0
17,12,0
8,3,0
7,3,0
17,1,0
14,1,0
2,1,0
11,3,0
2,2,0
17,3,0
11,2,0
2,1,0
12,2,0
9,3,0
8,2,0
1,2,0
2,1,0
1,1,0
3,2,0
11,3,0
4,7,0
2,2,0
6,2,0
1,2,0
23,1,0
19,1,0
19,1,0
20,10,0
2,2,0
11,20,0
1,1,0
11,2,0
11,2,0
2,2,0
10,1,0
2,2,0
10,1,0
10,1,0
6,2,0
5,1,0
2,2,0
10,1,0
7,1,0
2,3,0
11,1,0
5,1,0
2,2,0
7,10,0
6,1,0
4,1,0
6,1,0
8,2,0
2,2,0
1,1,0
10,1,0
11,2,0
2,1,0
3,2,0
1,1,0
6,3,0
5,2,0
11,3,0
8,1,0
