Organism rule,IC,mu,t_abs,Num states visted,Num rules visited
30,4,0.5,8,8,8
30,14,0.5,1,2,2
30,31,0.5,1,1,2
30,7,0.5,2,3,3
30,1,0.5,3,4,4
30,0,0.5,1,2,2
30,5,0.5,22,18,23
30,10,0.5,7,8,8
30,27,0.5,2,3,3
30,19,0.5,1,2,2
30,7,0.5,6,6,7
30,26,0.5,6,6,7
30,17,0.5,3,4,4
30,28,0.5,9,10,9
30,8,0.5,8,9,9
30,6,0.5,3,4,4
30,26,0.5,4,5,5
30,21,0.5,15,11,16
30,5,0.5,4,4,5
30,9,0.5,44,23,40
30,4,0.5,2,3,3
30,23,0.5,10,9,10
30,25,0.5,4,5,5
30,25,0.5,19,15,19
30,10,0.5,5,6,6
30,16,0.5,17,14,17
30,29,0.5,11,10,10
30,18,0.5,6,5,7
30,22,0.5,27,18,26
30,3,0.5,24,17,24
30,15,0.5,12,10,13
30,4,0.5,5,5,6
30,3,0.5,9,9,10
30,0,0.5,1,1,2
30,1,0.5,9,9,10
30,14,0.5,8,8,9
30,2,0.5,1,2,2
30,18,0.5,7,8,8
30,2,0.5,2,3,3
30,1,0.5,10,10,10
30,1,0.5,7,6,8
30,19,0.5,1,2,2
30,23,0.5,10,9,11
30,8,0.5,11,9,12
30,11,0.5,2,3,3
30,8,0.5,6,6,6
30,27,0.5,3,3,4
30,10,0.5,11,12,12
30,12,0.5,12,12,13
30,22,0.5,3,4,4
30,24,0.5,3,3,4
30,6,0.5,7,7,8
30,9,0.5,2,3,3
30,19,0.5,22,13,23
30,17,0.5,3,4,4
30,23,0.5,12,11,12
30,23,0.5,9,10,10
30,13,0.5,6,6,7
30,30,0.5,19,15,19
30,20,0.5,1,2,2
30,24,0.5,4,5,5
30,6,0.5,4,5,5
30,28,0.5,32,21,31
30,1,0.5,9,9,9
30,10,0.5,1,2,2
30,6,0.5,3,4,4
30,18,0.5,14,10,12
30,7,0.5,15,15,14
30,19,0.5,5,6,6
30,21,0.5,14,10,15
30,27,0.5,40,24,36
30,23,0.5,22,17,23
30,24,0.5,17,15,17
30,30,0.5,12,11,13
30,16,0.5,11,10,12
30,13,0.5,8,8,9
30,4,0.5,17,14,18
30,6,0.5,9,8,10
30,19,0.5,15,13,16
30,29,0.5,19,15,18
30,29,0.5,34,18,31
30,29,0.5,5,6,6
30,10,0.5,5,6,6
30,17,0.5,10,10,11
30,27,0.5,21,12,20
30,25,0.5,16,15,17
30,25,0.5,3,4,4
30,24,0.5,2,3,3
30,0,0.5,1,2,2
30,30,0.5,19,14,19
30,18,0.5,16,14,15
30,15,0.5,2,3,2
30,8,0.5,6,7,6
30,19,0.5,10,10,11
30,19,0.5,7,7,8
30,6,0.5,10,8,11
30,2,0.5,2,3,3
30,11,0.5,14,14,14
30,4,0.5,4,4,5
30,20,0.5,2,3,2
30,13,0.5,1,2,2
30,19,0.5,14,10,15
30,0,0.5,1,2,2
30,18,0.5,7,7,8
30,16,0.5,9,9,10
30,3,0.5,2,3,3
30,4,0.5,2,3,3
30,17,0.5,10,9,11
30,17,0.5,4,5,5
30,28,0.5,3,4,4
30,25,0.5,13,10,14
30,0,0.5,1,1,2
30,30,0.5,1,2,2
30,7,0.5,21,15,22
30,2,0.5,4,5,5
30,8,0.5,4,5,5
30,11,0.5,2,3,3
30,8,0.5,2,3,3
30,25,0.5,5,5,6
30,25,0.5,14,11,14
30,7,0.5,19,16,20
30,2,0.5,13,10,14
30,17,0.5,12,11,13
30,6,0.5,12,10,13
30,19,0.5,2,3,3
30,4,0.5,9,10,10
30,10,0.5,7,6,8
30,15,0.5,10,9,11
30,7,0.5,20,15,19
30,16,0.5,9,10,10
30,13,0.5,1,2,2
30,1,0.5,24,17,24
30,12,0.5,10,8,11
30,6,0.5,8,8,9
30,2,0.5,3,4,4
30,26,0.5,17,15,18
30,7,0.5,18,15,19
30,18,0.5,4,5,5
30,15,0.5,11,11,11
30,27,0.5,45,27,40
30,27,0.5,8,8,9
30,29,0.5,8,8,9
30,9,0.5,13,10,12
30,26,0.5,12,12,13
30,25,0.5,2,3,3
30,8,0.5,1,2,2
30,20,0.5,5,6,6
30,29,0.5,7,6,8
30,8,0.5,5,6,6
30,26,0.5,1,2,2
30,18,0.5,3,4,4
30,29,0.5,9,8,8
30,27,0.5,8,9,9
30,14,0.5,6,7,7
30,7,0.5,10,11,11
30,19,0.5,16,13,17
30,29,0.5,12,12,13
30,22,0.5,10,9,11
30,10,0.5,5,5,6
30,26,0.5,12,11,13
30,12,0.5,19,15,20
30,12,0.5,36,21,37
30,6,0.5,8,9,9
30,13,0.5,14,13,14
30,5,0.5,12,11,13
30,29,0.5,19,14,20
30,16,0.5,5,6,6
30,4,0.5,28,17,28
30,11,0.5,11,10,12
30,15,0.5,3,3,4
30,6,0.5,15,13,16
30,13,0.5,15,13,16
30,25,0.5,6,7,7
30,13,0.5,7,7,8
30,16,0.5,6,7,7
30,28,0.5,4,5,5
30,13,0.5,2,3,3
30,14,0.5,17,14,17
30,15,0.5,3,4,4
30,15,0.5,9,9,9
30,5,0.5,2,3,3
30,7,0.5,1,2,2
30,31,0.5,1,2,2
30,17,0.5,28,19,28
30,1,0.5,9,10,10
30,5,0.5,3,4,4
30,23,0.5,19,15,19
30,6,0.5,26,19,27
30,12,0.5,34,21,33
30,0,0.5,1,2,2
30,9,0.5,3,3,4
30,5,0.5,6,7,6
30,12,0.5,2,3,3
30,2,0.5,14,8,15
30,2,0.5,16,17,17
30,8,0.5,1,2,2
30,24,0.5,2,3,3
30,8,0.5,2,3,3
30,17,0.5,3,4,3
30,27,0.5,5,5,6
30,2,0.5,12,10,13
30,5,0.5,1,2,2
30,24,0.5,4,4,5
30,7,0.5,5,6,6
30,28,0.5,3,4,4
30,6,0.5,5,6,6
30,3,0.5,2,3,3
30,14,0.5,2,3,3
30,15,0.5,3,4,4
30,2,0.5,4,5,5
30,8,0.5,9,8,10
30,2,0.5,14,13,15
30,25,0.5,6,6,7
30,10,0.5,6,7,7
30,7,0.5,8,8,9
30,11,0.5,3,4,4
30,2,0.5,3,4,4
30,8,0.5,1,2,2
30,25,0.5,3,4,4
30,8,0.5,1,2,2
30,11,0.5,3,4,4
30,27,0.5,11,9,12
30,15,0.5,13,10,14
30,11,0.5,17,13,17
30,2,0.5,5,6,6
30,2,0.5,3,4,4
30,9,0.5,13,11,13
30,27,0.5,35,21,35
30,29,0.5,10,10,11
30,27,0.5,20,14,21
30,5,0.5,9,9,10
30,3,0.5,18,15,19
30,4,0.5,3,4,4
30,27,0.5,6,7,7
30,30,0.5,2,3,3
30,20,0.5,3,4,4
30,25,0.5,26,21,24
30,26,0.5,6,6,7
30,17,0.5,4,4,5
30,25,0.5,7,7,8
30,22,0.5,8,8,9
30,15,0.5,13,12,14
30,1,0.5,2,3,3
30,31,0.5,1,1,2
30,24,0.5,30,20,28
30,14,0.5,21,14,22
30,17,0.5,9,10,10
30,12,0.5,8,6,9
30,0,0.5,1,1,2
30,25,0.5,11,10,10
30,7,0.5,9,8,10
30,26,0.5,5,6,6
30,10,0.5,2,3,3
30,9,0.5,2,3,3
30,26,0.5,5,6,6
30,21,0.5,1,2,2
30,20,0.5,26,16,26
30,15,0.5,3,3,4
30,28,0.5,38,22,35
30,3,0.5,4,5,5
30,5,0.5,4,5,5
30,22,0.5,2,2,3
30,17,0.5,9,10,10
30,7,0.5,18,13,19
30,16,0.5,1,2,2
30,1,0.5,2,3,3
30,20,0.5,1,2,2
30,17,0.5,2,3,3
30,4,0.5,17,13,18
30,14,0.5,7,7,8
30,17,0.5,9,10,10
30,21,0.5,3,4,4
30,14,0.5,1,2,2
30,20,0.5,10,9,11
30,17,0.5,3,3,4
30,27,0.5,5,5,6
30,14,0.5,11,11,12
30,2,0.5,3,4,4
30,9,0.5,1,2,2
30,12,0.5,4,5,5
30,12,0.5,9,10,10
30,17,0.5,7,8,7
30,11,0.5,6,7,7
30,26,0.5,1,2,2
30,22,0.5,3,4,4
30,10,0.5,5,5,6
30,13,0.5,8,9,9
30,8,0.5,16,11,17
30,20,0.5,1,2,2
30,0,0.5,1,2,2
30,25,0.5,5,6,6
30,5,0.5,9,8,10
30,17,0.5,7,7,8
30,17,0.5,17,14,18
30,15,0.5,13,10,14
30,7,0.5,6,7,7
30,28,0.5,16,14,17
30,24,0.5,1,2,2
30,22,0.5,8,9,9
30,21,0.5,19,14,20
30,9,0.5,3,4,4
30,15,0.5,2,3,3
30,18,0.5,3,4,4
30,15,0.5,2,3,3
30,3,0.5,7,8,8
30,21,0.5,16,15,17
30,8,0.5,9,9,10
30,21,0.5,7,6,8
30,30,0.5,19,15,19
30,2,0.5,22,15,21
30,25,0.5,11,9,12
30,20,0.5,13,12,14
30,29,0.5,3,4,4
30,2,0.5,3,4,4
30,7,0.5,13,13,14
30,3,0.5,3,4,4
30,2,0.5,1,2,2
30,26,0.5,1,2,2
30,12,0.5,5,6,6
30,25,0.5,3,4,4
30,11,0.5,2,3,3
30,4,0.5,2,3,3
30,8,0.5,10,10,11
30,13,0.5,15,13,15
30,28,0.5,19,15,19
30,23,0.5,14,14,15
30,9,0.5,1,2,2
30,21,0.5,1,2,2
30,19,0.5,2,3,3
30,15,0.5,3,4,4
30,27,0.5,1,2,2
30,20,0.5,5,6,6
30,2,0.5,5,6,6
30,16,0.5,5,6,6
30,6,0.5,2,3,3
30,29,0.5,8,7,9
30,12,0.5,14,14,14
30,1,0.5,9,8,10
30,19,0.5,12,10,13
30,0,0.5,1,2,2
30,26,0.5,21,15,21
30,2,0.5,2,3,3
30,3,0.5,17,13,18
30,10,0.5,3,4,4
30,31,0.5,1,1,2
30,4,0.5,16,11,17
30,28,0.5,33,19,32
30,8,0.5,27,17,26
30,13,0.5,20,16,21
30,4,0.5,6,7,7
30,8,0.5,2,3,3
30,21,0.5,1,2,2
30,21,0.5,6,6,7
30,10,0.5,13,11,14
30,29,0.5,9,9,10
30,3,0.5,17,18,17
30,12,0.5,7,8,8
30,16,0.5,15,12,16
30,8,0.5,1,2,2
30,26,0.5,4,5,5
30,25,0.5,5,5,6
30,28,0.5,12,10,13
30,22,0.5,15,13,14
30,0,0.5,1,2,2
30,1,0.5,19,17,20
30,30,0.5,19,13,18
30,6,0.5,3,4,4
30,21,0.5,13,12,14
30,30,0.5,1,2,2
30,22,0.5,15,11,16
30,28,0.5,4,5,5
30,24,0.5,5,6,6
30,1,0.5,5,6,5
30,3,0.5,3,4,4
30,12,0.5,4,5,5
30,21,0.5,7,7,8
30,25,0.5,4,5,5
30,5,0.5,8,7,9
30,22,0.5,2,2,3
30,15,0.5,5,6,6
30,2,0.5,6,6,7
30,4,0.5,8,8,9
30,27,0.5,20,16,21
30,24,0.5,5,6,6
30,28,0.5,1,2,2
30,26,0.5,8,9,9
30,15,0.5,8,8,8
30,8,0.5,3,4,4
30,27,0.5,17,18,18
30,25,0.5,6,6,7
30,26,0.5,18,13,18
30,13,0.5,2,3,3
30,8,0.5,9,9,10
30,25,0.5,17,17,17
30,19,0.5,7,8,7
30,13,0.5,11,10,12
30,10,0.5,1,2,2
30,5,0.5,23,16,23
30,26,0.5,18,13,18
30,26,0.5,17,14,18
30,0,0.5,1,1,2
30,15,0.5,10,10,11
30,0,0.5,1,2,2
30,24,0.5,14,12,14
30,18,0.5,13,10,14
30,8,0.5,17,16,18
30,23,0.5,9,7,10
30,21,0.5,7,7,8
30,7,0.5,4,5,5
30,16,0.5,1,2,2
30,3,0.5,6,7,7
30,15,0.5,11,11,12
30,6,0.5,3,4,4
30,26,0.5,7,8,8
30,6,0.5,2,3,3
30,30,0.5,23,14,23
30,22,0.5,6,7,7
30,14,0.5,8,9,9
30,5,0.5,6,7,7
30,12,0.5,7,7,8
30,13,0.5,7,6,8
30,22,0.5,4,5,5
30,14,0.5,18,13,19
30,16,0.5,2,3,3
30,16,0.5,3,4,4
30,9,0.5,8,9,9
30,27,0.5,25,14,24
30,4,0.5,5,4,6
30,30,0.5,3,3,4
30,5,0.5,2,3,3
30,15,0.5,19,15,20
30,11,0.5,7,7,8
30,24,0.5,4,4,5
30,19,0.5,8,9,9
30,15,0.5,2,3,3
30,22,0.5,26,17,25
30,16,0.5,17,12,18
30,3,0.5,4,5,5
30,25,0.5,7,8,8
30,22,0.5,16,14,17
30,27,0.5,16,13,14
30,25,0.5,2,3,3
30,17,0.5,2,3,3
30,16,0.5,4,4,5
30,12,0.5,2,3,3
30,5,0.5,27,18,26
30,27,0.5,10,9,11
30,27,0.5,4,5,5
30,23,0.5,2,3,3
30,8,0.5,5,5,6
