Organism rule,IC,mu,t_abs,Num states visted,Num rules visited
30,8,0.5,17,13,16
30,29,0.5,7,7,8
30,27,0.5,3,4,4
30,46,0.5,3,4,4
30,50,0.5,3,4,4
30,47,0.5,14,10,15
30,53,0.5,29,23,27
30,46,0.5,5,5,6
30,45,0.5,1,2,2
30,24,0.5,6,6,7
30,45,0.5,3,4,4
30,5,0.5,4,5,5
30,33,0.5,2,3,3
30,20,0.5,14,12,15
30,54,0.5,3,4,4
30,31,0.5,10,10,11
30,9,0.5,1,2,2
30,38,0.5,20,17,21
30,63,0.5,1,1,2
30,40,0.5,2,3,3
30,6,0.5,10,10,11
30,10,0.5,2,3,3
30,29,0.5,1,2,2
30,55,0.5,4,5,5
30,37,0.5,11,10,12
30,35,0.5,12,13,12
30,21,0.5,1,2,2
30,35,0.5,12,13,13
30,55,0.5,7,7,8
30,1,0.5,3,4,4
30,9,0.5,5,4,5
30,34,0.5,8,9,9
30,23,0.5,12,12,13
30,44,0.5,3,3,4
30,36,0.5,2,3,3
30,58,0.5,5,6,6
30,38,0.5,5,6,5
30,28,0.5,2,3,3
30,46,0.5,12,12,13
30,12,0.5,17,14,16
30,8,0.5,9,9,10
30,43,0.5,3,4,4
30,36,0.5,3,3,4
30,45,0.5,4,4,5
30,2,0.5,4,4,5
30,39,0.5,7,7,8
30,1,0.5,17,14,18
30,55,0.5,16,16,16
30,5,0.5,4,5,5
30,37,0.5,3,4,4
30,51,0.5,10,11,11
30,19,0.5,24,14,24
30,32,0.5,3,4,4
30,16,0.5,10,5,11
30,55,0.5,1,2,2
30,27,0.5,5,4,6
30,53,0.5,14,14,15
30,4,0.5,20,16,21
30,22,0.5,1,2,2
30,27,0.5,3,3,4
30,3,0.5,1,2,2
30,29,0.5,9,9,10
30,1,0.5,3,4,4
30,24,0.5,20,18,21
30,0,0.5,1,1,2
30,57,0.5,15,13,16
30,18,0.5,1,2,2
30,41,0.5,6,7,7
30,56,0.5,19,16,18
30,39,0.5,2,3,3
30,33,0.5,6,6,7
30,10,0.5,3,3,4
30,56,0.5,6,7,7
30,0,0.5,1,2,2
30,25,0.5,7,8,8
30,31,0.5,11,10,10
30,1,0.5,1,2,2
30,30,0.5,13,12,13
30,62,0.5,18,16,18
30,52,0.5,12,9,13
30,59,0.5,14,13,13
30,25,0.5,9,9,9
30,51,0.5,2,3,3
30,43,0.5,4,4,5
30,50,0.5,6,6,7
30,34,0.5,6,6,7
30,3,0.5,4,5,5
30,59,0.5,15,14,16
30,58,0.5,9,10,9
30,61,0.5,11,11,12
30,35,0.5,14,11,15
30,6,0.5,6,7,7
30,8,0.5,12,11,13
30,11,0.5,15,12,15
30,15,0.5,17,16,17
30,49,0.5,13,12,13
30,9,0.5,1,2,2
30,6,0.5,5,6,6
30,39,0.5,1,2,2
30,19,0.5,15,9,16
30,6,0.5,4,5,5
30,53,0.5,2,3,3
30,23,0.5,4,5,5
30,63,0.5,1,1,2
30,34,0.5,15,16,16
30,53,0.5,8,9,9
30,32,0.5,1,2,2
30,28,0.5,7,7,8
30,36,0.5,4,5,5
30,1,0.5,3,4,4
30,57,0.5,5,5,6
30,57,0.5,23,19,24
30,54,0.5,4,4,5
30,1,0.5,5,6,6
30,21,0.5,2,3,3
30,60,0.5,3,4,4
30,55,0.5,3,2,4
30,60,0.5,4,5,5
30,36,0.5,1,2,2
