7,8,0,8
1,1,0,1
1,1,0,1
2,2,0,2
3,3,0,3
1,1,0,1
11,22,0,22
4,7,0,7
2,2,0,2
1,1,0,1
6,6,0,6
6,6,0,6
3,3,0,3
7,9,0,9
6,8,0,8
3,3,0,3
3,4,0,4
14,15,0,15
3,4,0,4
21,44,1,44
2,2,0,2
9,10,0,10
3,4,0,4
17,19,0,19
4,5,0,5
17,17,0,17
7,11,0,11
6,6,0,6
18,27,0,27
15,23,0,24
11,12,0,12
5,5,0,5
9,9,0,9
1,1,0,1
7,9,0,9
8,8,0,8
1,1,0,1
7,7,0,7
2,2,0,2
10,10,0,10
7,7,0,7
1,1,0,1
10,10,0,10
10,11,0,11
2,2,0,2
6,6,0,6
3,3,0,3
7,11,0,11
10,12,0,12
3,3,0,3
3,3,0,3
3,7,0,7
2,2,0,2
13,22,0,22
3,3,0,3
7,12,0,12
9,9,0,9
5,6,0,6
11,19,0,19
1,1,0,1
4,3,0,4
4,4,0,4
22,32,0,32
4,9,0,9
1,1,0,1
3,3,0,3
13,14,0,14
11,15,0,15
5,5,0,5
12,14,0,14
29,40,1,40
20,21,0,22
16,17,0,17
9,12,0,12
11,11,0,11
8,8,0,8
8,17,0,17
8,9,0,9
15,15,0,15
13,19,0,19
31,34,1,34
4,5,0,5
5,5,0,5
9,10,0,10
9,21,0,21
10,16,0,16
3,3,0,3
2,2,0,2
1,1,0,1
12,19,0,19
11,16,0,16
2,2,0,2
5,6,0,6
7,10,0,10
7,7,0,7
7,10,0,10
2,2,0,2
8,14,0,14
3,4,0,4
2,2,0,2
1,1,0,1
9,14,0,14
1,1,0,1
7,7,0,7
7,9,0,9
1,2,0,2
2,2,0,2
10,10,0,10
3,4,0,4
3,3,0,3
11,12,0,13
1,1,0,1
1,1,0,1
11,21,0,21
4,4,0,4
4,4,0,4
2,2,0,2
2,2,0,2
4,5,0,5
12,14,0,14
17,19,0,19
10,12,0,13
12,12,0,12
8,12,0,12
2,2,0,2
9,9,0,9
7,7,0,7
7,10,0,10
15,20,0,20
9,9,0,9
1,1,0,1
24,24,0,24
8,10,0,10
8,8,0,8
3,3,0,3
13,16,0,17
12,18,0,18
3,4,0,4
11,11,0,11
18,45,1,45
8,8,0,8
8,8,0,8
5,13,0,13
11,12,0,12
2,2,0,2
1,1,0,1
4,5,0,5
4,7,0,7
3,5,0,5
1,1,0,1
3,3,0,3
7,9,0,9
8,8,0,8
6,6,0,6
10,10,0,10
13,16,0,16
9,12,0,12
7,10,0,10
5,5,0,5
11,12,0,12
17,19,0,19
35,36,1,36
6,8,0,8
11,14,0,14
10,12,0,12
13,18,0,19
5,5,0,5
14,28,0,28
10,11,0,11
3,3,0,3
8,15,0,15
11,15,0,15
5,6,0,6
7,7,0,7
4,6,0,6
4,4,0,4
2,2,0,2
13,17,0,17
3,3,0,3
8,9,0,9
2,2,0,2
1,1,0,1
1,1,0,1
27,28,0,28
8,9,0,9
3,3,0,3
17,19,0,19
23,26,0,26
15,34,1,34
1,1,0,1
3,3,0,3
6,6,0,6
2,2,0,2
7,14,0,14
10,16,0,16
1,1,0,1
2,2,0,2
2,2,0,2
3,3,0,3
4,5,0,5
6,12,0,12
1,1,0,1
4,4,0,4
3,5,0,5
3,3,0,3
3,5,0,5
2,2,0,2
1,2,0,2
3,3,0,3
4,4,0,4
9,9,0,9
11,14,0,14
6,6,0,6
5,6,0,6
6,8,0,8
2,3,0,3
3,3,0,3
1,1,0,1
3,3,0,3
1,1,0,1
2,3,0,3
8,11,0,11
12,13,0,13
8,17,0,17
5,5,0,5
