Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
94,21,30,30,60,40,40,17,51,60,59,50
207,2,30,30,51,40,40,12,41,51,50,40
239,12,30,30,52,40,40,12,43,52,51,42
42,15,30,30,48,40,40,7,46,48,47,45
202,19,30,30,48,40,40,8,48,48,47,47
30,1,30,30,62,40,40,17,52,62,61,52
162,0,30,30,46,40,40,2,46,46,45,45
88,6,30,30,55,40,40,13,53,55,54,52
101,5,30,30,48,40,40,8,48,48,47,47
191,1,30,30,43,40,40,3,43,43,42,42
113,30,30,30,56,40,40,15,56,56,55,55
64,16,30,30,43,40,40,3,42,43,42,41
210,24,45,30,36,24,24,11,25,36,35,24
28,23,45,30,54,32,32,17,33,54,53,32
176,22,45,30,82,80,16,26,17,82,19,16
49,18,45,30,34,24,24,9,25,34,33,24
206,30,110,30,34,16,16,15,21,34,33,20
126,24,110,30,32,16,16,12,19,32,31,18
149,23,54,30,35,30,6,17,8,35,12,7
58,10,54,30,42,40,8,25,9,42,11,8
165,4,22,30,33,30,6,16,9,33,10,8
196,7,126,30,32,30,6,16,8,32,9,7
49,9,126,30,35,30,6,19,8,35,12,7
102,24,62,30,48,40,8,24,9,48,17,8
211,7,62,30,46,45,3,30,4,46,5,3
245,3,122,30,33,30,6,18,8,33,10,7
155,5,122,30,32,30,6,15,8,32,9,7
214,13,122,30,32,30,6,16,8,32,9,7
140,29,122,30,33,30,6,16,9,33,10,8
181,19,26,30,41,40,8,20,9,41,10,8
212,8,26,30,43,40,8,20,11,43,12,10
173,18,26,30,41,40,8,20,9,41,10,8
154,3,26,30,45,40,8,22,11,45,14,10
215,27,154,30,41,40,8,20,9,41,10,8
194,8,154,30,41,40,8,20,9,41,10,8
76,16,154,30,43,40,8,25,9,43,12,8
120,27,154,30,46,40,8,20,9,46,15,8
106,21,154,30,41,40,8,20,9,41,10,8
227,22,154,30,44,40,8,20,9,44,13,8
177,3,156,30,34,30,2,26,4,34,7,3
144,19,156,30,33,30,2,30,5,33,6,4
139,8,28,30,32,30,2,25,4,32,5,3
102,3,58,30,48,40,8,24,9,48,17,8
180,4,178,30,41,40,2,30,3,41,4,2
12,3,178,30,43,40,2,30,5,43,6,4
70,21,178,30,32,30,2,25,4,32,5,3
70,10,50,30,32,30,2,25,4,32,5,3
185,16,50,30,33,30,2,25,5,33,6,4
62,7,9,30,62,60,12,15,14,62,15,13
224,22,9,30,63,60,12,18,13,63,16,12
162,5,106,30,41,40,8,25,9,41,10,8
188,30,106,30,76,75,15,30,16,76,17,15
145,6,106,30,76,75,15,25,16,76,17,15
69,12,106,30,41,40,8,25,9,41,10,8
236,7,106,30,78,75,15,26,18,78,19,17
5,9,3,30,54,16,16,25,17,54,53,17
65,16,3,30,34,16,16,13,17,34,33,17
232,22,27,30,92,80,16,30,17,92,29,17
15,7,27,30,81,80,16,30,16,81,18,16
20,20,27,30,97,80,16,30,17,97,34,17
225,12,27,30,82,80,16,30,16,82,19,16
240,22,27,30,85,80,16,30,16,85,22,16
231,13,27,30,40,16,16,19,17,40,39,16
111,5,43,30,64,60,4,30,8,64,9,7
216,17,43,30,63,60,4,30,7,63,8,6
58,4,43,30,65,60,4,30,8,65,10,7
177,12,43,30,64,60,4,30,7,64,9,6
131,24,43,30,41,40,8,20,9,41,10,8
65,3,43,30,64,60,4,30,8,64,9,7
166,20,43,30,45,40,8,27,9,45,14,8
43,9,43,30,45,40,8,23,9,45,14,8
142,27,43,30,64,60,4,30,8,64,9,7
189,16,11,30,66,60,4,30,9,66,11,8
249,20,11,30,42,40,8,22,9,42,11,8
46,23,11,30,66,60,4,30,9,66,11,8
50,26,11,30,65,60,4,30,8,65,10,7
80,23,11,30,47,40,8,22,9,47,16,9
156,20,11,30,63,60,4,30,7,63,8,6
182,23,11,30,65,60,4,30,9,65,10,8
172,23,142,30,47,40,8,28,9,47,16,8
174,12,142,30,56,40,8,28,10,56,25,9
179,12,142,30,64,60,4,30,8,64,9,7
187,5,142,30,62,60,4,30,6,62,7,5
204,10,142,30,61,60,4,30,5,61,6,4
236,6,142,30,64,60,4,30,8,64,9,7
68,21,142,30,62,60,4,30,6,62,7,5
61,18,142,30,64,60,4,30,8,64,9,7
43,4,142,30,53,40,8,28,9,53,22,8
67,13,142,30,63,60,4,30,7,63,8,6
13,30,142,30,63,60,4,30,7,63,8,6
100,26,14,30,62,60,4,30,6,62,7,5
106,22,14,30,44,40,8,26,9,44,13,8
201,27,14,30,64,60,4,30,8,64,9,7
203,21,14,30,64,60,4,30,8,64,9,7
75,20,14,30,50,40,8,26,9,50,19,8
45,14,14,30,52,40,8,27,9,52,21,8
144,19,14,30,64,60,4,30,8,64,9,7
152,22,14,30,64,60,4,30,8,64,9,7
247,3,134,30,44,40,8,22,12,44,13,11
194,17,170,30,41,40,8,20,9,41,10,8
149,18,170,30,48,40,8,23,9,48,17,8
97,29,170,30,41,40,8,21,9,41,10,8
110,10,170,30,82,80,8,25,9,82,11,8
142,14,46,30,62,60,4,30,6,62,7,5
246,28,46,30,50,40,8,25,10,50,19,9
114,23,46,30,42,40,8,25,10,42,11,9
104,9,46,30,46,40,8,27,10,46,15,9
155,22,46,30,48,40,8,27,10,48,17,9
167,1,46,30,42,40,8,26,10,42,11,9
145,16,46,30,62,60,4,30,6,62,7,5
150,7,15,30,43,40,8,26,9,43,12,8
198,25,15,30,41,40,8,20,9,41,10,8
12,28,15,30,41,40,8,20,9,41,10,8
155,8,15,30,41,40,8,20,9,41,10,8
43,21,15,30,45,40,8,26,9,45,14,8
216,25,15,30,46,40,8,22,9,46,15,8
101,19,15,30,44,40,8,22,9,44,13,8
167,13,15,30,41,40,8,25,9,41,10,8
99,7,42,30,43,40,8,25,9,43,12,8
44,6,42,30,41,40,8,20,9,41,10,8
69,1,42,30,42,40,8,26,9,42,11,8
93,1,42,30,42,40,8,21,10,42,11,9
179,21,42,30,62,60,4,30,6,62,7,5
184,9,162,30,45,40,8,26,10,45,14,9
226,15,162,30,43,40,8,25,10,43,12,9
89,25,162,30,42,40,8,26,10,42,11,9
151,5,162,30,43,40,8,25,11,43,12,10
138,9,6,30,81,80,8,30,9,81,10,8
62,13,138,30,43,40,8,15,9,43,12,8
47,2,138,30,43,40,8,22,10,43,12,9
140,28,138,30,43,40,8,21,9,43,12,8
156,14,38,30,42,40,8,25,10,42,11,9
27,8,38,30,41,40,8,25,9,41,10,8
181,26,38,30,43,40,8,22,11,43,12,10
212,18,74,30,84,80,8,26,10,84,13,9
109,7,74,30,123,120,24,25,25,123,28,24
162,14,34,30,41,40,8,25,9,41,10,8
117,18,34,30,45,40,8,25,10,45,14,9
14,22,29,30,32,30,2,25,4,32,5,3
225,12,19,30,35,30,2,27,2,35,8,2
1,3,30,45,46,40,40,8,42,46,45,41
144,13,30,45,41,40,40,3,41,41,40,40
137,8,30,45,53,40,40,4,52,53,52,51
188,23,30,45,51,40,40,10,51,51,50,50
162,3,30,45,46,40,40,5,46,46,45,45
213,15,30,45,47,40,40,8,47,47,46,46
