Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
71,9,106,27,21,15,15,5,16,21,20,15
101,15,106,27,18,15,15,2,16,18,17,15
24,11,106,27,18,15,15,5,17,18,17,16
202,8,3,27,22,16,16,7,18,22,21,17
55,1,3,27,18,16,16,3,18,18,17,17
59,2,3,27,19,16,16,5,18,19,18,17
240,4,3,27,37,16,16,13,17,30,36,16
241,14,3,27,18,16,16,4,17,18,17,16
155,1,3,27,20,16,16,5,18,20,19,17
148,3,27,27,22,16,16,4,21,22,21,20
41,3,27,27,22,16,16,7,21,22,21,20
251,10,27,27,18,16,16,4,17,18,17,16
31,10,27,27,23,16,16,4,17,23,22,16
132,3,27,27,17,16,16,3,17,11,16,16
75,6,27,27,20,16,16,6,19,20,19,18
225,11,27,27,31,16,16,10,17,24,30,16
231,14,43,27,33,32,8,12,9,33,10,8
172,12,43,27,22,8,8,12,9,22,21,8
174,6,184,27,22,8,8,9,9,18,21,8
162,6,184,27,20,8,8,9,9,16,19,8
121,1,56,27,22,8,8,10,11,18,21,10
98,1,24,27,16,8,8,6,11,16,15,10
120,3,7,27,35,16,16,12,17,28,34,16
202,7,7,27,27,16,16,10,20,27,26,19
248,6,170,27,18,8,8,9,9,18,17,8
155,1,15,27,33,32,8,12,9,33,10,8
248,8,15,27,19,8,8,10,9,19,18,8
15,1,15,27,17,16,8,10,9,17,16,8
224,7,42,27,16,8,8,9,10,16,15,9
115,1,42,27,20,8,8,10,9,20,19,9
103,11,162,27,18,8,8,9,10,18,17,9
231,14,162,27,18,8,8,9,12,18,17,11
240,7,10,27,16,8,8,9,10,16,15,9
188,7,10,27,16,8,8,8,10,16,15,9
114,9,10,27,21,8,8,9,10,21,20,9
45,3,74,27,21,8,8,7,13,21,20,12
200,11,74,27,16,8,8,5,11,16,15,10
46,8,74,27,18,8,8,9,11,18,17,10
181,6,168,27,17,8,8,7,9,17,16,8
223,4,30,43,43,40,40,3,43,43,42,42
169,9,30,43,52,40,40,5,52,52,51,51
124,8,30,43,54,40,40,5,54,54,53,53
137,3,30,43,53,40,40,4,52,53,52,51
57,2,30,43,45,40,40,6,42,45,44,41
83,5,30,43,52,40,40,3,52,52,51,51
74,14,45,43,27,24,24,4,25,27,26,24
58,0,45,43,33,32,32,2,33,33,32,32
230,8,45,43,20,16,16,4,17,20,19,16
169,3,45,43,40,32,32,8,33,40,39,32
118,0,110,43,21,16,16,2,21,21,20,20
13,6,110,43,21,16,16,4,18,21,20,17
52,15,110,43,18,16,16,2,18,18,17,17
28,2,110,43,24,16,16,9,19,24,23,18
157,5,110,43,21,16,16,3,21,14,20,20
155,11,110,43,23,16,16,8,17,16,22,16
206,13,105,43,17,16,4,8,5,17,6,4
41,6,105,43,17,16,4,9,5,17,6,4
163,2,54,43,17,8,8,7,9,17,16,8
227,8,22,43,18,16,4,12,6,18,7,5
162,13,62,43,23,16,16,4,21,23,22,20
48,2,62,43,19,16,16,4,19,19,18,18
209,14,26,43,17,8,8,9,10,17,16,9
72,3,154,43,17,16,8,6,9,17,16,8
78,6,57,43,17,8,8,8,10,17,16,9
127,10,58,43,18,8,8,3,15,18,17,14
138,6,25,43,24,16,16,5,24,17,23,23
80,13,25,43,21,16,16,4,19,14,20,18
93,7,25,43,22,16,16,4,22,15,21,21
175,4,25,43,22,16,16,6,22,15,21,21
2,2,25,43,21,16,16,5,21,21,20,20
159,4,25,43,22,16,16,3,20,15,21,19
