Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
10,5,30,30,50,40,40,6,50,50,49,49
127,7,30,30,44,40,40,2,43,44,43,42
44,2,30,30,53,40,40,8,53,53,52,52
95,4,30,30,52,40,40,3,51,52,51,50
249,1,45,30,18,2,2,4,18,18,17,17
105,7,45,30,26,24,24,2,25,26,25,24
177,1,45,30,11,2,2,5,11,11,10,10
32,5,45,30,17,2,2,5,17,17,16,16
223,3,73,30,11,9,3,6,5,11,6,4
172,6,110,30,21,16,16,4,21,14,20,20
16,6,110,30,21,16,16,3,21,21,20,20
245,5,150,30,13,12,4,3,5,13,6,4
133,1,105,30,9,4,4,5,5,7,8,4
23,4,105,30,9,8,4,3,5,9,8,4
239,1,105,30,13,12,4,6,5,13,6,4
96,6,54,30,8,6,6,4,7,8,7,6
213,3,54,30,8,4,4,4,6,8,7,5
195,0,22,30,8,6,6,2,8,8,7,7
91,4,60,30,10,1,1,8,10,10,10,9
245,0,60,30,8,1,1,2,8,8,8,7
95,1,60,30,8,1,1,3,8,8,8,7
107,1,60,30,10,1,1,4,10,10,10,9
22,0,146,30,10,6,6,2,8,10,9,7
141,2,126,30,8,6,6,3,7,8,7,6
186,3,62,30,10,3,3,6,8,10,9,7
29,6,62,30,20,16,16,5,18,20,19,17
97,3,18,30,8,6,6,4,8,8,7,7
194,5,18,30,11,6,6,5,8,11,10,7
211,3,122,30,9,6,6,4,9,9,8,8
233,3,122,30,9,6,6,3,9,9,8,8
144,7,122,30,9,1,1,2,9,9,9,8
140,5,122,30,9,6,6,4,9,9,8,8
202,7,26,30,16,8,8,2,9,16,15,8
139,4,26,30,16,8,8,6,10,16,15,9
58,5,26,30,17,8,8,6,10,17,16,9
12,5,26,30,10,1,1,6,10,10,10,9
252,3,154,30,10,8,8,3,9,10,9,8
249,1,154,30,10,8,8,4,9,10,9,8
14,2,154,30,21,8,8,8,9,17,20,8
58,2,154,30,12,8,8,5,9,12,11,8
21,4,94,30,8,6,1,6,3,8,4,2
208,0,41,30,13,8,8,2,13,13,12,12
111,7,41,30,9,2,2,2,8,8,8,7
228,0,41,30,9,8,8,2,9,9,8,8
160,0,57,30,11,4,2,2,9,11,10,8
184,5,57,30,15,12,2,6,5,15,6,4
111,6,57,30,14,8,8,3,11,14,13,10
100,3,156,30,9,6,1,6,4,9,5,3
155,4,156,30,8,6,2,6,4,8,5,3
32,2,28,30,8,1,1,3,8,8,8,7
57,4,28,30,8,6,2,6,4,8,5,3
140,5,58,30,17,8,8,6,10,17,16,9
164,4,58,30,17,8,8,5,10,17,16,9
29,3,58,30,11,8,8,5,11,11,10,10
144,5,58,30,12,8,8,3,11,12,11,10
191,1,78,30,8,1,1,2,8,8,8,7
113,6,178,30,14,12,2,6,4,14,5,3
136,3,178,30,14,12,2,6,4,14,5,3
250,4,178,30,15,12,2,6,5,15,6,4
64,2,50,30,8,4,2,3,6,8,7,5
175,5,50,30,8,4,2,5,6,8,7,5
241,4,13,30,11,6,1,6,6,11,7,5
215,5,13,30,11,6,1,6,6,11,7,5
243,4,13,30,8,1,1,3,8,8,8,7
236,2,25,30,25,16,16,4,25,18,24,24
146,3,25,30,26,24,24,3,25,26,25,24
173,0,25,30,29,24,24,2,26,29,28,25
93,2,37,30,11,6,2,6,7,11,8,6
235,1,37,30,8,6,2,6,4,8,5,3
